"id","created_at","updated_at","form","hin","hin_1","hin_2","hin_3","katsu_kei","katsu_kata","genkei","yomi","hatsu","history_id","category_id","genre_id","user_id"
"68391","04/15/2015 08:34:31","04/15/2015 08:34:31","撤廃","名詞","サ変接続","*","*","*","*","撤廃","テッパイ","テッパイ","508","36","2",NULL
"68392","04/15/2015 08:34:31","04/15/2015 08:34:31","に","助詞","格助詞","一般","*","*","*","に","ニ","ニ","508","36","2",NULL
"68393","04/15/2015 08:34:31","04/15/2015 08:34:31","も","助詞","係助詞","*","*","*","*","も","モ","モ","508","36","2",NULL
"68394","04/15/2015 08:34:31","04/15/2015 08:34:31","「","記号","括弧開","*","*","*","*","「","「","「","508","36","2",NULL
"68395","04/15/2015 08:34:31","04/15/2015 08:34:31","技術","名詞","一般","*","*","*","*","技術","ギジュツ","ギジュツ","508","36","2",NULL
"68396","04/15/2015 08:34:31","04/15/2015 08:34:31","開発","名詞","サ変接続","*","*","*","*","開発","カイハツ","カイハツ","508","36","2",NULL
"68397","04/15/2015 08:34:31","04/15/2015 08:34:31","が","助詞","格助詞","一般","*","*","*","が","ガ","ガ","508","36","2",NULL
"68398","04/15/2015 08:34:31","04/15/2015 08:34:31","進ん","動詞","自立","*","*","五段・マ行","連用タ接続","進む","ススン","ススン","508","36","2",NULL
"68399","04/15/2015 08:34:31","04/15/2015 08:34:31","で","助詞","接続助詞","*","*","*","*","で","デ","デ","508","36","2",NULL
"68400","04/15/2015 08:34:31","04/15/2015 08:34:31","使用","名詞","サ変接続","*","*","*","*","使用","シヨウ","シヨー","508","36","2",NULL
"68401","04/15/2015 08:34:31","04/15/2015 08:34:31","量","名詞","接尾","一般","*","*","*","量","リョウ","リョウ","508","36","2",NULL
"68402","04/15/2015 08:34:31","04/15/2015 08:34:31","が","助詞","格助詞","一般","*","*","*","が","ガ","ガ","508","36","2",NULL
"68403","04/15/2015 08:34:31","04/15/2015 08:34:31","減り","動詞","自立","*","*","五段・ラ行","連用形","減る","ヘリ","ヘリ","508","36","2",NULL
"68404","04/15/2015 08:34:32","04/15/2015 08:34:32","、","記号","読点","*","*","*","*","、","、","、","508","36","2",NULL
"68405","04/15/2015 08:34:32","04/15/2015 08:34:32","中国","名詞","固有名詞","地域","国","*","*","中国","チュウゴク","チューゴク","508","36","2",NULL
"68406","04/15/2015 08:34:32","04/15/2015 08:34:32","以外","名詞","非自立","副詞可能","*","*","*","以外","イガイ","イガイ","508","36","2",NULL
"68407","04/15/2015 08:34:32","04/15/2015 08:34:32","の","助詞","連体化","*","*","*","*","の","ノ","ノ","508","36","2",NULL
"68408","04/15/2015 08:34:32","04/15/2015 08:34:32","調達","名詞","サ変接続","*","*","*","*","調達","チョウタツ","チョータツ","508","36","2",NULL
"68409","04/15/2015 08:34:32","04/15/2015 08:34:32","先","名詞","接尾","一般","*","*","*","先","サキ","サキ","508","36","2",NULL
"68410","04/15/2015 08:34:32","04/15/2015 08:34:32","も","助詞","係助詞","*","*","*","*","も","モ","モ","508","36","2",NULL
"68411","04/15/2015 08:34:32","04/15/2015 08:34:32","見つかっ","動詞","自立","*","*","五段・ラ行","連用タ接続","見つかる","ミツカッ","ミツカッ","508","36","2",NULL
"68412","04/15/2015 08:34:32","04/15/2015 08:34:32","た","助動詞","*","*","*","特殊・タ","基本形","た","タ","タ","508","36","2",NULL
"68413","04/15/2015 08:34:32","04/15/2015 08:34:32","」","記号","括弧閉","*","*","*","*","」","」","」","508","36","2",NULL
"68414","04/15/2015 08:34:32","04/15/2015 08:34:32","（","記号","括弧開","*","*","*","*","（","（","（","508","36","2",NULL
"68415","04/15/2015 08:34:32","04/15/2015 08:34:32","日産自動車","名詞","固有名詞","組織","*","*","*","日産自動車","ニッサンジドウシャ","ニッサンジドーシャ","508","36","2",NULL
"68416","04/15/2015 08:34:32","04/15/2015 08:34:32","の","助詞","連体化","*","*","*","*","の","ノ","ノ","508","36","2",NULL
"68417","04/15/2015 08:34:32","04/15/2015 08:34:32","志賀","名詞","固有名詞","人名","姓","*","*","志賀","シガ","シガ","508","36","2",NULL
"68418","04/15/2015 08:34:32","04/15/2015 08:34:32","俊之","名詞","固有名詞","人名","名","*","*","俊之","トシユキ","トシユキ","508","36","2",NULL
"68419","04/15/2015 08:34:32","04/15/2015 08:34:32","副","接頭詞","名詞接続","*","*","*","*","副","フク","フク","508","36","2",NULL
"68420","04/15/2015 08:34:32","04/15/2015 08:34:32","会長","名詞","一般","*","*","*","*","会長","カイチョウ","カイチョー","508","36","2",NULL
"68421","04/15/2015 08:34:32","04/15/2015 08:34:32","）","記号","括弧閉","*","*","*","*","）","）","）","508","36","2",NULL
"68422","04/15/2015 08:34:32","04/15/2015 08:34:32","、","記号","読点","*","*","*","*","、","、","、","508","36","2",NULL
"68423","04/15/2015 08:34:32","04/15/2015 08:34:32","「","記号","括弧開","*","*","*","*","「","「","「","508","36","2",NULL
"68424","04/15/2015 08:34:32","04/15/2015 08:34:32","現在","名詞","副詞可能","*","*","*","*","現在","ゲンザイ","ゲンザイ","508","36","2",NULL
"68425","04/15/2015 08:34:32","04/15/2015 08:34:32","は","助詞","係助詞","*","*","*","*","は","ハ","ワ","508","36","2",NULL
"68426","04/15/2015 08:34:32","04/15/2015 08:34:32","価格","名詞","一般","*","*","*","*","価格","カカク","カカク","508","36","2",NULL
"68427","04/15/2015 08:34:32","04/15/2015 08:34:32","も","助詞","係助詞","*","*","*","*","も","モ","モ","508","36","2",NULL
"68428","04/15/2015 08:34:32","04/15/2015 08:34:32","落ち着き","動詞","自立","*","*","五段・カ行イ音便","連用形","落ち着く","オチツキ","オチツキ","508","36","2",NULL
"68429","04/15/2015 08:34:32","04/15/2015 08:34:32","、","記号","読点","*","*","*","*","、","、","、","508","36","2",NULL
"68430","04/15/2015 08:34:32","04/15/2015 08:34:32","影響","名詞","サ変接続","*","*","*","*","影響","エイキョウ","エイキョー","508","36","2",NULL
"68431","04/15/2015 08:34:32","04/15/2015 08:34:32","は","助詞","係助詞","*","*","*","*","は","ハ","ワ","508","36","2",NULL
